First,Second,Type
63,54,220
54,61,220
61,88,220
88,89,220
89,119,220
119,120,220
120,126,220
89,90,220
61,4,220
58,60,220
60,59,220
61,79,220
79,80,220
80,78,220
80,99,220
99,100,220
100,154,220
154,156,220
156,158,220
158,159,220
159,160,220
160,169,220
169,197,220
197,151,220
89,121,220
121,122,220
122,138,220
138,143,220
143,142,220
142,151,220
151,177,220
177,180,220
180,184,220
184,185,220
185,186,220
186,187,220
187,189,220
193,192,132
192,191,132
191,190,132
190,188,132
188,196,132
196,182,132
182,181,132
181,178,132
178,151,132
151,170,132
170,171,132
171,172,132
172,173,132
173,174,132
174,176,132
174,179,132
151,168,132
151,167,132
167,152,132
152,144,132
144,145,132
145,146,132
146,147,132
147,148,132
148,149,132
149,150,132
167,166,132
166,161,132
161,162,132
162,163,132
163,164,132
164,165,132
161,157,132
157,155,132
155,154,132
154,153,132
154,98,132
98,96,132
96,95,132
95,92,132
92,93,132
93,91,132
91,80,132
80,77,132
77,76,132
76,1,132
96,97,132
93,94,132
1,52,132
52,51,132
51,50,132
50,49,132
49,48,132
48,47,132
47,194,132
194,45,132
45,46,132
45,44,132
44,43,132
43,27,132
27,28,132
28,29,132
29,30,132
29,31,132
27,26,132
26,25,132
25,24,132
24,23,132
23,21,132
21,22,132
21,20,132
20,19,132
19,18,132
18,17,132
17,16,132
16,15,132
15,14,132
14,13,132
13,10,132
10,11,132
11,12,132
10,8,132
8,9,132
8,6,132
6,7,132
7,,132
6,4,132
4,5,132
4,55,132
55,56,132
55,1,132
1,2,132
2,3,132
2,81,132
81,82,132
82,101,132
101,102,132
102,103,132
103,104,132
104,105,132
82,83,132
83,84,132
84,85,132
85,47,132
27,42,132
42,41,132
41,40,132
40,38,132
38,37,132
37,35,132
35,34,132
34,33,132
33,32,132
32,17,132
38,57,132
38,39,132
47,64,132
64,65,132
64,66,132
66,67,132
67,68,132
68,69,132
69,70,132
70,71,132
71,72,132
72,73,132
73,74,132
73,75,132
75,130,132
130,131,132
131,132,132
132,133,132
133,134,132
133,129,132
129,128,132
128,127,132
127,126,132
126,125,132
126,71,132
47,195,132
47,86,132
86,87,132
87,106,132
106,107,132
107,108,132
108,109,132
109,110,132
110,111,132
108,112,132
112,113,132
113,114,132
114,115,132
115,117,132
117,118,132
115,116,132
114,135,132
135,136,132
114,123,132
123,124,132
124,137,132
137,139,132
139,140,132
140,141,132
140,143,132
143,144,132
